wy,wy,P,adjP,spring_rain,winter_P,winter_rain,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
2001,2001,691.2028827850838,691.2028827850838,148.20831381326352,530.3464210130894,530.3464210130894,0.0,0.0,192.06899563471478,283.6689041052997,146.79106159086592,337.3258928123088,0.0,0.0,0.38915062262108435
2002,2002,878.3267615826936,878.3267615826936,93.97464198968211,778.239903519859,778.239903519859,0.0,0.0,0.0,258.55640770685136,146.33438091285353,342.53299036341616,6.718715728259142,335.58197068879815,10.115862300138186
2003,2003,1065.3943776515443,1065.3943776515443,274.8108397465789,751.4779363451305,751.4779363451305,0.0,0.0,0.0,282.8847162511582,151.16116942195148,317.85451946280324,6.677618332761794,342.53299036341616,6.677618332761794
2004,2004,768.5249865828441,388.045051568221,53.042488275910515,706.6120663870045,326.3146271358995,7.2061159148633225,307.85714285714295,274.8627290725708,254.87902787376086,133.95483455479393,293.1207184692144,40.43507343114402,317.85451946280324,40.43507343114402
2005,2005,1274.009057764223,671.0994067485246,246.06014234570873,1004.2984201728582,401.3890115814024,7.078420150862322,935.0,0.0,299.81925758043366,142.64432791517797,217.22463598895865,7.17131483327158,222.07080631116182,70.05697787755379
2006,2006,1392.6957083635684,859.6543293199886,258.36806355210706,1106.29194803847,599.0452683913425,5.795591512997352,379.2857142857143,320.7965968449911,289.7172531085306,146.83755857841956,249.4468256054665,2.4993984574767247,217.22463598895865,2.4993984574767247
2007,2007,620.7216768101612,394.9418694286685,83.2795886211615,506.02091298914974,280.55825463557005,5.4001649828010985,150.71428571428572,0.0,265.0510443797754,157.09674217103128,355.82860131152376,80.37483002374765,249.4468256054665,80.37483002374765
2008,2008,739.8688404971058,283.71259594803513,46.71067916083222,690.3786894511326,234.2224449020619,9.099988036478948,633.4285714285714,0.0,255.5636812938144,162.0129726198302,382.88101326671705,108.26426258704802,343.1094002706206,136.8095718766651
2009,2009,897.6914134136991,558.4938317514323,154.76484095315473,732.8365918499701,393.00906102500255,6.054739231958248,465.2857142857142,0.0,288.1147172498127,158.83764671065208,385.95389724106957,127.52052038120495,382.88101326671705,127.52052038120495
2010,2010,1050.3433038684836,564.8307674428626,204.24203577151218,809.564014802277,355.4508468177326,7.317791368714921,864.5714285714286,0.0,273.58339175374977,154.6531292119612,312.65621036676004,89.3739338060371,292.48444579251645,157.11950168790608
2011,2011,1555.4782693270924,733.4792606276872,208.89498859752467,1323.851137660486,473.4040792414345,7.956280404369551,1189.4285714285716,0.0,253.1099982536612,143.08438112380668,189.44533293176303,23.88968270445744,196.25883072525662,37.59671647754346
2012,2012,666.923452763797,454.10285634855387,137.8881709852403,516.4745916064658,303.65399519122263,4.587016675840565,239.42857142857144,0.0,278.2967056900383,180.16045380367325,332.26677428982674,59.97722878873586,162.79132849264914,59.97722878873586
2013,2013,733.2418868920738,486.0431055500226,90.8672198471782,616.7560400566231,369.5750968271945,5.402714580646198,267.7142857142857,0.0,281.2742183337541,155.32616368890487,422.1640193507256,138.69643145282802,329.2856528189603,138.69643145282802
2014,2014,581.621279588269,463.412187558013,112.73540532225996,422.2416379199591,305.75876631415986,2.9396460528426864,21.714285714285715,0.0,266.5289852395938,175.8267329944132,508.6259309030663,262.11930566502224,412.2995633692313,262.11930566502224
2015,2015,568.1172576038882,497.0971822537089,156.157976358467,400.80718159084006,329.7871062406608,1.9912949345620752,17.571428571428573,0.0,291.76652118991063,186.99572075025398,621.7514213501615,370.17416690307437,508.6259309030663,376.55036676333776
2016,2016,1024.266207825974,647.0512636785895,117.09308372644983,902.3548093476757,525.1398652002911,5.188665802884362,193.42857142857142,402.49589697519946,309.7916957989465,161.42793898019607,571.6709356202812,307.4419518099052,601.4214622016916,307.4419518099052
2017,2017,1950.5864597356704,1151.964321545349,187.3933187606836,1710.969322572748,912.5272716205701,6.286118625915259,866.2857142857143,733.8558699289957,299.4065386219087,157.18295165789362,351.87893765286503,111.1980975915213,433.3195103787345,111.1980975915213
2018,2018,843.066958127335,585.7181838678614,134.58739312225697,706.6231751567091,449.2744008972354,4.408019728529235,207.28571428571425,0.0,340.80547044802097,165.99669441715724,478.7252849600108,144.15509285563238,351.87893765286503,144.15509285563238
2019,2019,1311.579387684155,526.1890191050527,184.46527853452636,1107.3571989691604,324.16564464193254,9.086786652602699,999.0,422.3851890563965,316.21614214592114,139.65496580182034,361.6815734699904,103.85056228734112,478.254236426216,156.25929875352213
2020,2020,638.1301503212725,357.343058762497,162.50436226579595,469.9861727693201,185.12558775885043,7.114243526151666,425.71428571428567,184.91705052057904,314.9037966676202,153.03230787658782,469.7330370429682,142.32522709198852,334.82388404887246,142.32522709198852
2021,2021,498.288156372707,231.9476984833347,43.14787175485079,445.1361881822478,178.79573029287548,7.772479171493053,296.85714285714283,0.0,202.96891586310304,187.4045571802397,457.8269318123836,293.3065762988261,469.7330370429682,293.3065762988261
