This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average
9/30/2001, -0.5032268762588501
10/8/2001, -1.6403254270553589
10/16/2001, -1.60333251953125
10/24/2001, -1.3344618082046509
11/1/2001, -0.9531006813049316
11/9/2001, -0.8879543542861938
11/17/2001, -0.36085155606269836
11/25/2001, 0.01901085674762726
12/3/2001, 0.06621232628822327
12/11/2001, 1.5243957042694092
12/19/2001, 1.7905962467193604
12/27/2001, 1.4166617393493652
1/1/2002, 1.7055437564849854
1/9/2002, 0.6979634761810303
1/17/2002, 0.23865917325019836
1/25/2002, 0.12758532166481018
2/2/2002, 0.04264267534017563
2/10/2002, 0.0984301045536995
2/18/2002, 0.3823545575141907
2/26/2002, -0.7501773834228516
3/6/2002, -0.23566898703575134
3/14/2002, -1.0781527757644653
3/22/2002, -0.6492993831634521
3/30/2002, -2.0298163890838623
4/7/2002, -1.414703130722046
4/15/2002, -1.5015419721603394
4/23/2002, -0.060079678893089294
5/1/2002, 0.20499706268310547
5/9/2002, 0.7249839305877686
5/17/2002, 0.7849709987640381
5/25/2002, 0.16162660717964172
6/2/2002, 0.0280274860560894
6/10/2002, -0.29075732827186584
6/18/2002, -0.7064909934997559
6/26/2002, -0.8753273487091064
7/4/2002, -1.2447443008422852
7/12/2002, -1.2292115688323975
7/20/2002, -0.8529636859893799
7/28/2002, -1.031186819076538
8/5/2002, -0.4690938889980316
8/13/2002, -1.2213422060012817
8/21/2002, -0.6296218633651733
8/29/2002, -0.9540955424308777
9/6/2002, -0.6288516521453857
9/14/2002, -0.28360748291015625
9/22/2002, -1.227288007736206
9/30/2002, -0.5991886854171753
10/8/2002, -1.0646452903747559
10/16/2002, -0.7486716508865356
10/24/2002, -0.4481391906738281
11/1/2002, -0.5153094530105591
11/9/2002, -0.5672188997268677
11/17/2002, -0.20428819954395294
11/25/2002, -1.0203375816345215
12/3/2002, -1.2130024433135986
12/11/2002, -0.9347108602523804
12/19/2002, -0.676156759262085
12/27/2002, -0.605591893196106
1/1/2003, -0.37368983030319214
1/9/2003, -0.13954173028469086
1/17/2003, -0.14871758222579956
1/25/2003, -0.043438173830509186
2/2/2003, -0.17203718423843384
2/10/2003, -0.08333975076675415
2/18/2003, 0.29039037227630615
2/26/2003, 0.9913322925567627
3/6/2003, 0.4229012727737427
3/14/2003, 0.8232660293579102
3/22/2003, 1.0015473365783691
3/30/2003, 0.5056672096252441
4/7/2003, 0.684848964214325
4/15/2003, 0.5611571073532104
4/23/2003, 0.18675264716148376
5/1/2003, 1.3534538745880127
5/9/2003, 0.35733309388160706
5/17/2003, 0.3092905282974243
5/25/2003, -0.32850390672683716
6/2/2003, -0.43108129501342773
6/10/2003, -0.8326530456542969
6/18/2003, -1.2184456586837769
6/26/2003, -0.5151454210281372
7/4/2003, -0.5585086941719055
7/12/2003, -1.1032096147537231
7/20/2003, -1.7303566932678223
7/28/2003, -0.9816920757293701
8/5/2003, 0.06264638900756836
8/13/2003, 0.5759462118148804
8/21/2003, 0.16791048645973206
8/29/2003, -0.20223133265972137
9/6/2003, 0.21690797805786133
9/14/2003, 0.1389578878879547
9/22/2003, -0.09207572042942047
9/30/2003, -1.000044345855713
10/8/2003, -1.7268410921096802
10/16/2003, -2.1806085109710693
10/24/2003, -1.935934066772461
11/1/2003, -0.5702170133590698
11/9/2003, 0.2517448663711548
11/17/2003, 0.9212795495986938
11/25/2003, 1.8739967346191406
12/3/2003, 0.6557168960571289
12/11/2003, 0.4063175916671753
12/19/2003, 0.9171558022499084
12/27/2003, 1.6262978315353394
1/1/2004, 1.4942569732666016
1/9/2004, 1.3419864177703857
1/17/2004, 1.243855595588684
1/25/2004, 1.335733413696289
2/2/2004, 0.9444026947021484
2/10/2004, 0.9420772790908813
2/18/2004, 0.6664773225784302
3/5/2004, -0.3863779902458191
3/13/2004, -0.693787157535553
3/21/2004, -1.1553943157196045
3/29/2004, -0.5382547378540039
4/6/2004, -0.7975618839263916
4/14/2004, -1.2425599098205566
4/22/2004, -0.5328381061553955
4/30/2004, -1.2217044830322266
5/8/2004, -0.7435814142227173
5/16/2004, -1.075056791305542
5/24/2004, -0.6949113607406616
6/1/2004, -0.14787353575229645
6/9/2004, -0.35765257477760315
6/17/2004, -0.6733800172805786
6/25/2004, -0.4801765978336334
7/3/2004, -0.10462279617786407
7/11/2004, -0.3229111433029175
7/19/2004, 0.21663227677345276
7/27/2004, 0.032953694462776184
8/4/2004, -0.014331154525279999
8/12/2004, 0.33229121565818787
8/20/2004, 0.8009533286094666
8/28/2004, 0.8284047842025757
9/5/2004, 0.844150960445404
9/13/2004, -1.3985657691955566
9/21/2004, -1.2572261095046997
9/29/2004, -1.4649829864501953
10/7/2004, 0.05517103150486946
10/15/2004, -0.32221323251724243
10/23/2004, 1.9048458337783813
10/31/2004, 3.015543222427368
11/8/2004, 2.355175256729126
11/16/2004, 2.490373134613037
11/24/2004, 1.3970253467559814
12/2/2004, 1.1099915504455566
12/10/2004, 0.42861220240592957
12/18/2004, -0.2249777764081955
12/26/2004, -0.45331013202667236
1/1/2005, -0.9594359397888184
1/9/2005, -0.4161255657672882
1/17/2005, 0.298030823469162
1/25/2005, -0.025310471653938293
2/2/2005, 0.016969822347164154
2/10/2005, -0.29634809494018555
2/18/2005, -0.28357911109924316
2/26/2005, 1.2805607318878174
3/6/2005, -0.9436922669410706
3/14/2005, 0.22699882090091705
3/22/2005, 0.5219062566757202
3/30/2005, 1.0236103534698486
4/7/2005, 1.4804375171661377
4/15/2005, 1.0678260326385498
4/23/2005, 1.4141840934753418
5/1/2005, 2.1121373176574707
5/9/2005, 2.5766351222991943
5/17/2005, 2.382810592651367
5/25/2005, 1.9968757629394531
6/2/2005, 1.0403099060058594
6/10/2005, 0.9721883535385132
6/18/2005, 1.1366500854492188
6/26/2005, 1.388662576675415
7/4/2005, 0.5934360027313232
7/12/2005, 0.9286060333251953
7/20/2005, 0.0022860169410705566
7/28/2005, -0.13539449870586395
8/5/2005, 0.392802894115448
8/13/2005, 0.4257080554962158
8/21/2005, 1.4110746383666992
8/29/2005, 0.9817088842391968
9/6/2005, 1.5989044904708862
9/14/2005, 1.6810903549194336
9/22/2005, 2.0268056392669678
9/30/2005, 1.8699638843536377
10/8/2005, 0.37178489565849304
10/16/2005, 0.14129163324832916
10/24/2005, 0.2886985242366791
11/1/2005, 0.6591549515724182
11/9/2005, 1.3217476606369019
11/17/2005, 1.0522159337997437
11/25/2005, 0.6211991310119629
12/3/2005, 0.39091336727142334
12/11/2005, 0.48861485719680786
12/19/2005, 0.7167819738388062
12/27/2005, 0.36350131034851074
1/1/2006, 0.2474752515554428
1/9/2006, 0.6378698945045471
1/17/2006, 0.8824845552444458
1/25/2006, 1.0869693756103516
2/2/2006, 1.1849045753479004
2/10/2006, 0.1967894434928894
2/18/2006, 0.2936207354068756
2/26/2006, -0.20663408935070038
3/6/2006, 1.1019405126571655
3/14/2006, 1.2710992097854614
4/23/2006, 1.3272993564605713
5/1/2006, 0.8236769437789917
5/9/2006, 0.6647801399230957
5/17/2006, -0.111380934715271
5/25/2006, -0.3031221330165863
6/2/2006, -0.23634019494056702
6/10/2006, -0.14969277381896973
6/18/2006, 0.10063199698925018
6/26/2006, -0.028243480250239372
7/4/2006, 0.05440356582403183
7/12/2006, -0.29610830545425415
7/20/2006, -0.3956242799758911
7/28/2006, -0.8163537383079529
8/5/2006, -0.3104320466518402
8/13/2006, 0.588549792766571
8/21/2006, 0.7011069655418396
8/29/2006, 0.3649406433105469
9/6/2006, -0.272821843624115
9/14/2006, -0.7341219186782837
9/22/2006, -0.04096926003694534
9/30/2006, -0.39989686012268066
10/8/2006, 0.5881397128105164
10/16/2006, 0.3242305815219879
10/24/2006, 0.10660330951213837
11/1/2006, -0.1569792479276657
11/9/2006, -0.2277602255344391
11/17/2006, 0.08325948566198349
11/25/2006, 0.6203418970108032
12/3/2006, 1.0468387603759766
12/11/2006, 0.686163067817688
12/19/2006, 0.8139134645462036
12/27/2006, 0.5643932819366455
1/1/2007, 1.1945033073425293
1/9/2007, 1.2456952333450317
1/17/2007, 1.284813642501831
1/25/2007, 1.5075349807739258
2/2/2007, 1.3200690746307373
2/10/2007, 0.9385965466499329
2/18/2007, 1.133765459060669
2/26/2007, 0.8129045963287354
3/6/2007, 0.2284369319677353
3/14/2007, -1.7292500734329224
3/22/2007, -1.8887577056884766
3/30/2007, -0.7485827207565308
4/7/2007, -0.5745177865028381
4/15/2007, -0.32862919569015503
4/23/2007, -0.6672874689102173
5/1/2007, -0.6189701557159424
5/9/2007, -0.7333670854568481
5/17/2007, -0.7079892158508301
5/25/2007, -0.6273517608642578
6/2/2007, -0.9944071173667908
6/10/2007, -0.4284723401069641
6/18/2007, -0.8422302007675171
6/26/2007, -0.6601598262786865
7/4/2007, -1.7527337074279785
7/12/2007, -1.8147623538970947
7/20/2007, -1.0455214977264404
