,ET,P,wy,sumP,D
2000-10-31,,100.00788333447417,2001,100.00788333447417,
2000-11-30,,38.30173725611184,2001,138.309620590586,
2000-12-31,,29.942684019528027,2001,168.25230461011404,
2001-01-31,33.95839530016784,168.82147615167446,2001,337.0737807617885,
2001-02-28,39.813399211960295,199.90762035942146,2001,536.98140112121,
2001-03-31,58.517485355008496,90.83718843388718,2001,627.8185895550971,
2001-04-30,43.77665406870149,121.34767482733552,2001,749.1662643824326,
2001-05-31,39.27397025895348,1.9792493087815792,2001,751.1455136912142,
2001-06-30,19.744975128124775,0.0,2001,751.1455136912142,
2001-07-31,35.648910139173694,36.02955771851871,2001,787.1750714097329,
2001-08-31,27.16122504560828,1.7951730700198232,2001,788.9702444797528,
2001-09-30,22.951540649405423,13.705627770191107,2001,802.6758722499438,
2001-10-31,14.163435353725871,37.54638674718239,2002,37.54638674718239,
2001-11-30,24.962627423048616,208.19226830089764,2002,245.73865504808003,
2001-12-31,28.742698856880974,327.9106793043972,2002,573.6493343524772,
2002-01-31,33.37915835458359,79.62457318662223,2002,653.2739075390995,
2002-02-28,42.346539727807034,67.78546995436413,2002,721.0593774934636,
2002-03-31,50.0688124457015,132.2559079556386,2002,853.3152854491021,
2002-04-30,50.10123165712275,58.34392733380778,2002,911.6592127829099,
2002-05-31,53.0317206682432,59.796704528025614,2002,971.4559173109355,
2002-06-30,34.15282322463387,2.640483380864927,2002,974.0964006918005,
2002-07-31,31.938902228158135,1.6067095180779518,2002,975.7031102098784,
2002-08-31,24.90589912400228,0.1374548038807705,2002,975.8405650137593,
2002-09-30,24.592971407763155,21.20067968106861,2002,997.0412446948279,
2002-10-31,12.671032969080713,5.6093920586525154,2003,5.6093920586525154,
2002-11-30,24.647338426412837,214.4878693134432,2003,220.09726137209572,
2002-12-31,23.065975191175085,378.5361488161949,2003,598.6334101882906,
2003-01-31,37.06778846536374,33.61981408920859,2003,632.2532242774992,
2003-02-28,43.7820590783405,82.33713227324257,2003,714.5903565507417,
2003-03-31,58.23921985804378,100.13229991959511,2003,814.7226564703368,
2003-04-30,53.61628494969743,262.6376358749946,2003,1077.3602923453313,
2003-05-31,56.68551229578419,68.92146258224484,2003,1146.2817549275762,
2003-06-30,35.99180305355099,1.0394539802926697,2003,1147.3212089078688,
2003-07-31,36.661006608575875,17.827283882644505,2003,1165.1484927905133,
2003-08-31,33.92742707117286,32.98521431167246,2003,1198.1337071021858,
2003-09-30,25.571132412028643,16.225448480863328,2003,1214.3591555830492,
2003-10-31,13.167450178813501,2.2994338429969563,2004,2.2994338429969563,
2003-11-30,31.01871890015947,89.02564974960542,2004,91.32508359260238,
2003-12-31,17.147137290850097,366.06938535411865,2004,457.394468946721,
2004-01-31,38.46546843582514,108.7362523371738,2004,566.1307212838948,
2004-02-29,42.93060221376125,223.13262271665877,2004,789.2633440005536,
2004-03-31,49.246246133292175,40.992261346494644,2004,830.2556053470482,
2004-04-30,44.505265804444456,18.552874857321086,2004,848.8084802043693,
2004-05-31,33.40985089352799,21.165691761608603,2004,869.9741719659779,
2004-06-30,35.821376819536496,4.140792655525036,2004,874.114964621503,
2004-07-31,35.38997652820912,4.098052572119168,2004,878.2130171936221,
2004-08-31,28.354040896665083,3.3144687599888467,2004,881.527485953611,
2004-09-30,24.255364229705158,3.585578366942381,2004,885.1130643205533,
2004-10-31,36.44196781164974,260.47229475498705,2005,260.47229475498705,
2004-11-30,24.44835028450448,51.59547137477814,2005,312.0677661297652,
2004-12-31,22.117023134354383,255.93165786748605,2005,567.9994239972513,
2005-01-31,29.750537828092195,379.6583690631983,2005,947.6577930604495,
2005-02-28,47.93029423934579,184.12596485062267,2005,1131.7837579110721,
2005-03-31,56.291392085740505,234.60713044463463,2005,1366.3908883557067,
2005-04-30,56.74100730939553,82.77182760758588,2005,1449.1627159632926,
2005-05-31,79.5897157693056,168.33328425095556,2005,1617.4960002142482,
2005-06-30,55.52144986513141,7.248786398939403,2005,1624.7447866131877,
2005-07-31,35.265339565759035,0.3462855395013014,2005,1625.0910721526889,
2005-08-31,33.24930324315326,16.99815882026816,2005,1642.089230972957,
2005-09-30,24.677165119692667,17.432584820485822,2005,1659.5218157934428,
2005-10-31,19.408988930444735,22.4136146183945,2006,22.4136146183945,
2005-11-30,22.822979935212057,54.59219879474814,2006,77.00581341314265,
2005-12-31,30.64384545697895,419.9485143554338,2006,496.9543277685765,
2006-01-31,37.71385906217894,297.21776571476573,2006,794.1720934833422,
2006-02-28,37.201080983328595,122.61643596295296,2006,916.7885294462952,
2006-03-31,56.3675984699477,298.2352844267281,2006,1215.0238138730233,
2006-04-30,59.65639315355732,307.3338869627021,2006,1522.3577008357254,
2006-05-31,66.0405375048214,41.98542157016947,2006,1564.3431224058947,
2006-06-30,42.81520669530747,9.074283316959773,2006,1573.4174057228545,
2006-07-31,34.24173015992483,20.32053284750427,2006,1593.7379385703587,
2006-08-31,30.93664202114005,1.7085046263820718,2006,1595.4464431967408,
2006-09-30,26.726693284213333,0.013300926752555736,2006,1595.4597441234935,
2006-10-31,15.2828806364886,30.28880029506844,2007,30.28880029506844,
2006-11-30,23.88712906485303,57.48486726246364,2007,87.77366755753208,
2006-12-31,23.934225258841476,131.557119222474,2007,219.33078678000606,
2007-01-31,30.81767577472256,37.20289874481807,2007,256.53368552482414,
2007-02-28,40.08544793779257,234.01440239745568,2007,490.5480879222798,
2007-03-31,39.2959058181423,38.86460685775291,2007,529.4126947800328,
2007-04-30,39.93144501373223,52.90171665935197,2007,582.3144114393848,
2007-05-31,36.287870730103506,19.965104844709202,2007,602.279516284094,
2007-06-30,34.273234723660025,0.7486023285799354,2007,603.028118612674,
2007-07-31,30.052466328295623,3.5518678830817523,2007,606.5799864957557,
2007-08-31,28.99664209227726,4.722147716183407,2007,611.3021342119391,
2007-09-30,29.947207398755438,19.1363067783841,2007,630.4384409903232,
2007-10-31,20.965718417462934,26.189295313366518,2008,26.189295313366518,
2007-11-30,17.753564940031342,9.282583715754548,2008,35.47187902912107,
