,ET,P,wy,sumP,D
2000-10-31,,246.86571092476368,2001,246.86571092476368,
2000-11-30,,155.92632493016518,2001,402.7920358549288,
2000-12-31,,138.3746360282588,2001,541.1666718831876,
2001-01-31,30.911620354663302,176.06324838777866,2001,717.2299202709663,
2001-02-28,33.18762043707303,309.52153705710646,2001,1026.7514573280728,
2001-03-31,67.05488085740146,142.77004986688053,2001,1169.5215071949533,
2001-04-30,56.64835470060625,126.48102314026374,2001,1296.002530335217,
2001-05-31,133.78260469886675,29.32587164178451,2001,1325.3284019770015,
2001-06-30,89.70820223108669,39.898865671855646,2001,1365.2272676488572,
2001-07-31,146.91342768933393,3.7581403945519676,2001,1368.985408043409,
2001-08-31,125.26137977985968,7.118765057651655,2001,1376.1041731010607,
2001-09-30,76.5820881825557,19.73154518778731,2001,1395.835718288848,
2001-10-31,41.699678769833966,127.35107580458894,2002,127.35107580458894,
2001-11-30,28.266825754034695,547.6678673142018,2002,675.0189431187907,
2001-12-31,14.532843788271236,579.7875339332312,2002,1254.8064770520218,
2002-01-31,22.24583432133306,401.5561751202839,2002,1656.3626521723058,
2002-02-28,42.76042244270297,252.82189685852546,2002,1909.1845490308312,
2002-03-31,55.89620107888561,185.2343891877792,2002,2094.4189382186105,
2002-04-30,65.13734870990511,65.66217258215596,2002,2160.0811108007665,
2002-05-31,118.28377569401096,89.5516036615139,2002,2249.6327144622805,
2002-06-30,155.09436906127314,9.374097142568447,2002,2259.006811604849,
2002-07-31,124.54613751496471,0.7025615190880165,2002,2259.709373123937,
2002-08-31,76.2715996297148,0.0,2002,2259.709373123937,
2002-09-30,60.16218010314887,9.989343656498562,2002,2269.6987167804355,
2002-10-31,46.72426063360258,0.0,2003,0.0,
2002-11-30,35.49898290516164,187.47675741965855,2003,187.47675741965855,
2002-12-31,17.12449058212345,1129.8453446054846,2003,1317.322102025143,
2003-01-31,29.767593871554904,417.2340521670293,2003,1734.5561541921725,
2003-02-28,43.659477702514664,175.43994396592223,2003,1909.9960981580948,
2003-03-31,51.30000647364194,294.8030758948184,2003,2204.7991740529133,
2003-04-30,36.693537104967575,588.1118953384358,2003,2792.911069391349,
2003-05-31,111.8502456838926,42.00097359447945,2003,2834.9120429858285,
2003-06-30,156.9705520460906,5.229409219385162,2003,2840.1414522052137,
2003-07-31,135.17467862047735,0.36610623239769874,2003,2840.5075584376114,
2003-08-31,104.11529054953515,7.747421601018931,2003,2848.2549800386305,
2003-09-30,75.81914659142453,22.84900185628958,2003,2871.1039818949203,
2003-10-31,44.144054466367095,13.069892988618474,2004,13.069892988618474,
2003-11-30,29.242763343765702,291.22788690499823,2004,304.2977798936167,
2003-12-31,16.14160231824669,782.1365478350219,2004,1086.4343277286387,
2004-01-31,22.10922165729476,362.80856632553156,2004,1449.2428940541702,
2004-02-29,36.926089020795445,484.42590705023883,2004,1933.6688011044089,
2004-03-31,69.1905860624723,89.78570546922967,2004,2023.4545065736386,
2004-04-30,94.95174594602918,137.1376645550818,2004,2160.5921711287206,
2004-05-31,98.64649807207152,32.25035813184289,2004,2192.8425292605634,
2004-06-30,162.78175626595527,8.682089743446205,2004,2201.5246190040098,
2004-07-31,153.02149658119234,0.22981137958251766,2004,2201.754430383592,
2004-08-31,102.78650319434634,14.403089349379709,2004,2216.1575197329717,
2004-09-30,89.62921911314666,18.94043609986137,2004,2235.097955832833,
2004-10-31,53.719888206361965,299.89620056979373,2005,299.89620056979373,
2004-11-30,23.94889042202246,63.863837545544804,2005,363.76003811533855,
2004-12-31,24.413563121187806,476.6325222687345,2005,840.392560384073,
2005-01-31,29.92387659785028,295.4588331144999,2005,1135.8513934985729,
2005-02-28,44.50551391522701,124.33635619455559,2005,1260.1877496931284,
2005-03-31,61.89567897915709,308.19076673719627,2005,1568.3785164303247,
2005-04-30,60.7803460020024,261.898987908092,2005,1830.2775043384167,
2005-05-31,115.79132664858012,241.0049350893594,2005,2071.2824394277764,
2005-06-30,142.5690963986569,106.39368780492765,2005,2177.676127232704,
2005-07-31,158.95757999301554,0.9278796735944019,2005,2178.6040069062983,
2005-08-31,114.3244589905004,0.21109024355841705,2005,2178.8150971498567,
2005-09-30,79.04075455093586,17.49685770851487,2005,2196.3119548583713,
2005-10-31,48.4026710564129,146.23363267645283,2006,146.23363267645283,
2005-11-30,34.38778962809329,348.4213886374704,2006,494.6550213139232,
2005-12-31,19.241369287879813,909.7870585289105,2006,1404.4420798428337,
2006-01-31,19.38503017133951,552.842950199613,2006,1957.2850300424466,
2006-02-28,40.077109766007936,210.71967586114152,2006,2168.0047059035883,
2006-03-31,43.30094272697164,513.8559833392218,2006,2681.86068924281,
2006-04-30,60.31398870503342,412.00215841980815,2006,3093.862847662618,
2006-05-31,125.149723778856,111.48196225050017,2006,3205.3448099131183,
2006-06-30,156.12042063428055,25.67603967609767,2006,3231.020849589216,
2006-07-31,123.91819305349608,1.2095536492017873,2006,3232.230403238418,
2006-08-31,111.64156811799131,3.4796547780515064,2006,3235.7100580164697,
2006-09-30,78.55431054098182,6.4075219930349,2006,3242.1175800095048,
2006-10-31,50.70656103155562,15.663054710222779,2007,15.663054710222779,
2006-11-30,29.082660076643272,543.44822905419,2007,559.1112837644129,
2006-12-31,22.437988005709993,516.0740599014573,2007,1075.1853436658703,
2007-01-31,29.738628713889224,74.42994734911414,2007,1149.6152910149845,
2007-02-28,36.621488685021816,489.24108660938293,2007,1638.8563776243673,
2007-03-31,69.5369983392535,109.55991423278641,2007,1748.4162918571537,
2007-04-30,63.30543848620513,145.05855824333543,2007,1893.4748501004892,
2007-05-31,133.45525695568202,80.999837476322,2007,1974.4746875768112,
2007-06-30,154.1469974409399,11.860903589770722,2007,1986.335591166582,
2007-07-31,148.83004120703416,56.94577200251221,2007,2043.2813631690942,
2007-08-31,114.18752578781186,6.3520728697298665,2007,2049.633436038824,
2007-09-30,83.21595212999307,8.44345252274821,2007,2058.0768885615726,
2007-10-31,44.615254621005136,344.02764447219977,2008,344.02764447219977,
2007-11-30,39.97944454619896,172.84028588271724,2008,516.867930354917,
2007-12-31,18.175673789229204,453.1382048319995,2008,970.0061351869165,
2008-01-31,23.005265386711848,514.9016200864218,2008,1484.9077552733384,
2008-02-29,40.50646376491053,254.10522575895317,2008,1739.0129810322915,
2008-03-31,37.78442765459324,118.45019491759099,2008,1857.4631759498825,
2008-04-30,62.51560562726701,140.78057776970593,2008,1998.2437537195883,
2008-05-31,85.70707511211235,4.920946344385949,2008,2003.1647000639744,
2008-06-30,149.5337472886256,10.988774119612327,2008,2014.1534741835867,
2008-07-31,130.27761477045252,0.0,2008,2014.1534741835867,
2008-08-31,101.72385093428453,3.990588586504866,2008,2018.1440627700915,
2008-09-30,69.44556347341141,2.205739022593511,2008,2020.349801792685,
2008-10-31,63.154891239346675,153.94893723567975,2009,153.94893723567975,
2008-11-30,27.4872356602893,321.5081957809324,2009,475.45713301661215,
2008-12-31,19.895799617019296,283.18317288034336,2009,758.6403058969555,
2009-01-31,44.34890861900273,82.53982087422193,2009,841.1801267711775,
2009-02-28,31.911031173613853,414.98454861938154,2009,1256.164675390559,
2009-03-31,59.689518649226926,253.11055742796196,2009,1509.275232818521,
2009-04-30,64.43863523725322,58.12951872807531,2009,1567.4047515465963,
2009-05-31,124.99633536095669,210.75815669941065,2009,1778.162908246007,
2009-06-30,143.72325920578675,19.75996256830893,2009,1797.922870814316,
2009-07-31,132.15189560088479,3.1464392847808074,2009,1801.0693100990968,
2009-08-31,114.9063993138631,4.24779506311184,2009,1805.3171051622087,
2009-09-30,74.03496823322615,10.630637160613933,2009,1815.9477423228227,
2009-10-31,44.457022074528716,153.30245782082,2010,153.30245782082,
2009-11-30,36.24103971741922,270.6594562975049,2010,423.9619141183249,
2009-12-31,20.342830699787836,342.39705327558653,2010,766.3589673939114,
2010-01-31,20.08493537404528,548.7542455326897,2010,1315.1132129266011,
2010-02-28,37.774353594202644,328.15816047482366,2010,1643.2713734014249,
2010-03-31,50.17010860918318,249.05311366135518,2010,1892.32448706278,
2010-04-30,49.90811655166211,457.5484420238795,2010,2349.8729290866595,
2010-05-31,97.5670091274732,147.9259940728909,2010,2497.79892315955,
2010-06-30,153.11234067410345,118.760128242472,2010,2616.5590514020223,
2010-07-31,172.63239219102027,0.12961219254235024,2010,2616.688663594565,
2010-08-31,121.5091495101565,2.182183479390493,2010,2618.8708470739552,
2010-09-30,88.77585639789538,84.2923482641618,2010,2703.163195338117,
2010-10-31,39.844616127870985,419.76184557576175,2011,419.76184557576175,
2010-11-30,31.33160589428935,330.88266122709456,2011,750.6445068028563,
2010-12-31,17.437278013434288,713.5670650657922,2011,1464.2115718686487,
2011-01-31,33.42273445824347,69.52581081131932,2011,1533.737382679968,
2011-02-28,35.53472197746862,262.8345649450452,2011,1796.5719476250133,
2011-03-31,42.469062000668515,710.0412910109936,2011,2506.613238636007,
2011-04-30,50.36817677229332,352.4649246257172,2011,2859.078163261724,
2011-05-31,99.5963456388182,202.62206037981397,2011,3061.700223641538,
2011-06-30,147.28919270766232,97.63208365091464,2011,3159.3323072924522,
2011-07-31,164.9863760057885,8.295827143883638,2011,3167.628134436336,
2011-08-31,129.03157949580654,1.2938563740431128,2011,3168.921990810379,
2011-09-30,71.8264326967191,15.551213725795593,2011,3184.4732045361748,
2011-10-31,54.49260476924935,257.5826993864727,2012,257.5826993864727,
2011-11-30,30.66542722912686,314.37807059352645,2012,571.9607699799992,
2011-12-31,25.329260555771047,56.876458449738465,2012,628.8372284297377,
2012-01-31,28.74876020484947,442.49992683224554,2012,1071.3371552619833,
2012-02-29,38.857124831799844,184.29590229148144,2012,1255.6330575534648,
2012-03-31,45.01832616793923,641.5632426440231,2012,1897.196300197488,
2012-04-30,78.33663642949313,479.9605225022894,2012,2377.1568226997774,
2012-05-31,92.67986678165701,50.113191332726636,2012,2427.270014032504,
2012-06-30,147.04925039158505,148.80901587674933,2012,2576.0790299092537,
2012-07-31,172.16437048417887,25.0182713583556,2012,2601.097301267609,
2012-08-31,117.89822563612832,3.026447691051618,2012,2604.1237489586606,
2012-09-30,80.86884256071029,0.10117560950528104,2012,2604.224924568166,
2012-10-31,61.27605087451738,158.70227728122617,2013,158.70227728122617,
2012-11-30,20.177511014505495,802.1181334787591,2013,960.8204107599853,
2012-12-31,19.655601875984775,1078.8258341471353,2013,2039.6462449071205,
2013-01-31,28.014793884991377,106.86275803894206,2013,2146.5090029460625,
2013-02-28,39.773456653828354,61.47709874202244,2013,2207.986101688085,
2013-03-31,55.170240220406555,139.7628114157576,2013,2347.748913103843,
2013-04-30,68.31704539157434,150.39295185574994,2013,2498.1418649595926,
2013-05-31,122.8437229170276,117.44642998506708,2013,2615.5882949446595,
2013-06-30,158.0556627692545,53.978001810089374,2013,2669.5662967547487,
2013-07-31,142.9873095937476,0.0,2013,2669.5662967547487,
2013-08-31,111.01921466610445,3.4911035185583885,2013,2673.057400273307,
2013-09-30,77.81523792322237,259.96501168351836,2013,2933.022411956825,
2013-10-31,54.699952140507165,1.6087187122200237,2014,1.6087187122200237,
2013-11-30,35.650167528285294,87.46236337181027,2014,89.0710820840303,
2013-12-31,26.00359806460774,41.67537411945622,2014,130.7464562034865,
2014-01-31,35.21464198788478,58.19657632781237,2014,188.94303253129888,
2014-02-28,26.486763870581278,252.02786796590502,2014,440.9709004972039,
2014-03-31,62.14671251571514,379.5521378928084,2014,820.5230383900123,
2014-04-30,69.24119408127206,102.79103460130976,2014,923.3140729913221,
2014-05-31,129.89200919192973,118.6308124614602,2014,1041.9448854527823,
2014-06-30,159.14260374431763,32.20954955496438,2014,1074.1544350077465,
2014-07-31,137.81823377538237,0.23281653179120787,2014,1074.3872515395378,
2014-08-31,113.91344396068463,0.004616531250849467,2014,1074.3918680707886,
2014-09-30,71.38205339014887,111.7658777624611,2014,1186.1577458332497,
2014-10-31,43.546286998978815,394.3626477786841,2015,394.3626477786841,
2014-11-30,35.36905490986079,235.8812093636531,2015,630.2438571423372,
2014-12-31,19.48930110457447,613.5183136234439,2015,1243.762170765781,
2015-01-31,37.13625789448085,67.18203634246578,2015,1310.944207108247,
2015-02-28,49.784855214295,420.53455904415307,2015,1731.4787661524,
2015-03-31,67.66968867264983,100.01070892830205,2015,1831.489475080702,
2015-04-30,75.94580294594925,139.25592671629536,2015,1970.7454017969974,
2015-05-31,125.1066265998283,21.365977719676522,2015,1992.1113795166739,
