,T
2000-10-31,11.711592113007669
2000-11-30,5.07999803806166
2000-12-31,7.156453796350775
2001-01-31,0.9930194231901055
2001-02-28,-0.12906121247795
2001-03-31,6.535058858151899
2001-04-30,6.459119089660646
2001-05-31,20.652745732784012
2001-06-30,25.184730233470702
2001-07-31,24.292533843437354
2001-08-31,26.793316656856916
2001-09-30,22.55053266627425
2001-10-31,15.733751226211496
2001-11-30,6.005924072984158
2001-12-31,0.025512065921134308
2002-01-31,2.1624161271336106
2002-02-28,5.0041583284285025
2002-03-31,5.708985047223052
2002-04-30,10.189207376888362
2002-05-31,17.124270158917
2002-06-30,24.039682165980025
2002-07-31,26.762027663331367
2002-08-31,25.501792230723993
2002-09-30,21.743278399058227
2002-10-31,15.342689817539792
2002-11-30,9.633728663919953
2002-12-31,-0.10580341377277591
2003-01-31,6.528016480282588
2003-02-28,1.5828457916421144
2003-03-31,7.496645085344369
2003-04-30,4.304785167745763
2003-05-31,16.958193054738103
2003-06-30,23.805173631547973
2003-07-31,26.114955856386132
2003-08-31,24.183101824602716
2003-09-30,22.997680988816967
2003-10-31,20.74669217186579
2003-11-30,3.9021483225426437
2003-12-31,-2.7612320901778276
2004-01-31,0.7703119482048919
2004-02-29,0.7337198351972347
2004-03-31,10.17499117127727
2004-04-30,13.210553266627414
2004-05-31,17.433555032372
2004-06-30,23.621609770453233
2004-07-31,26.13834608593288
2004-08-31,25.267221895232524
2004-09-30,21.948584461447922
2004-10-31,10.49379046497944
2004-11-30,4.083211693152862
2004-12-31,5.568430449283824
2005-01-31,1.2373690406121227
2005-02-28,2.3706856974691277
2005-03-31,4.824131842260158
2005-04-30,5.755744555620936
2005-05-31,13.277336668628607
2005-06-30,19.19090052972342
2005-07-31,26.978434373160724
2005-08-31,24.610844614479106
2005-09-30,17.37970276633314
2005-10-31,14.810051010398297
2005-11-30,9.69773984696883
2005-12-31,3.673608004708683
2006-01-31,2.284791053560923
2006-02-28,3.541912889935247
2006-03-31,-0.5399911712772223
2006-04-30,9.337121836374365
2006-05-31,14.359120070629785
2006-06-30,24.209137728075348
2006-07-31,26.013116539140697
2006-08-31,25.078134196586234
2006-09-30,19.179390818128297
2006-10-31,13.66661369433001
2006-11-30,8.064705709240684
2006-12-31,2.240927015891714
2007-01-31,3.6844408475574255
2007-02-28,2.64093290170689
2007-03-31,10.687345497351373
2007-04-30,10.587300372768311
2007-05-31,18.531300765156004
2007-06-30,24.24454384932318
2007-07-31,26.520517951736338
2007-08-31,25.68572689817546
2007-09-30,18.68082401412596
2007-10-31,15.939358446144809
