,T
2000-10-31,14.982677551020402
2000-11-30,8.03260136054422
2000-12-31,10.934718367346989
2001-01-31,4.276930612244939
2001-02-28,4.42456870748299
2001-03-31,13.881224489795954
2001-04-30,15.315248979591843
2001-05-31,23.943497959183674
2001-06-30,24.73943129251711
2001-07-31,26.095653061224482
2001-08-31,28.3487510204082
2001-09-30,24.78016734693881
2001-10-31,18.99212244897967
2001-11-30,10.124971428571484
2001-12-31,2.889579421768758
2002-01-31,5.6344261292329065
2002-02-28,10.164551020408169
2002-03-31,10.246050722043151
2002-04-30,16.632552380952404
2002-05-31,19.64980408163268
2002-06-30,24.571722448979642
2002-07-31,27.5140530612245
2002-08-31,27.392179591836737
2002-09-30,24.58153877551024
2002-10-31,17.12631564625849
2002-11-30,11.893514285714332
2002-12-31,2.6815877551021003
2003-01-31,10.02748163265312
2003-02-28,7.05172941492134
2003-03-31,11.618551020408177
2003-04-30,15.06075918367344
2003-05-31,21.34102040816333
2003-06-30,24.077816326530638
2003-07-31,27.19714285714292
2003-08-31,26.210559183673524
2003-09-30,25.40435102040817
2003-10-31,22.93466938775515
2003-11-30,10.045714285714325
2003-12-31,1.485749659863984
2004-01-31,6.141542857142895
2004-02-29,3.8157469387755327
2004-03-31,16.045167346938854
2004-04-30,17.424967346938843
2004-05-31,17.76358367346944
2004-06-30,24.07209795918368
2004-07-31,27.920767346938817
2004-08-31,27.752351020408184
2004-09-30,24.59552653061229
2004-10-31,14.761151020408192
2004-11-30,7.876563265306174
2004-12-31,9.843812244897947
2005-01-31,5.502840816326625
2005-02-28,5.743855614808751
2005-03-31,9.06334693877551
2005-04-30,12.826918259733304
2005-05-31,17.197820408163295
2005-06-30,21.581612244897997
2005-07-31,27.656089795918433
2005-08-31,26.438469387755106
2005-09-30,19.52402857142863
2005-10-31,16.945423129251708
2005-11-30,13.044783673469396
2005-12-31,8.616035374149703
2006-01-31,7.3405959183673986
2006-02-28,8.996375510204132
2006-03-31,4.035183673469419
2006-04-30,14.113499319727907
2006-05-31,19.967424489795974
2006-06-30,24.73380000000003
2006-07-31,27.255195918367406
2006-08-31,26.53230612244903
2006-09-30,21.336604081632686
2006-10-31,16.65797823129253
2006-11-30,11.455665306122512
2006-12-31,6.69568571428573
2007-01-31,8.252118367347009
2007-02-28,5.928061224489795
2007-03-31,16.20171428571433
2007-04-30,14.99813061224495
2007-05-31,20.551061224489843
2007-06-30,25.060000000000002
2007-07-31,28.087534693877615
2007-08-31,27.614216326530652
2007-09-30,20.820746938775528
2007-10-31,18.821809523809577
2007-11-30,14.176371428571485
2007-12-31,8.020310204081682
2008-01-31,6.640689795918377
2008-02-29,6.669902494331097
2008-03-31,11.04736326530616
2008-04-30,16.61167755102042
2008-05-31,20.602000000000032
2008-06-30,24.764375510204104
2008-07-31,27.197057142857204
2008-08-31,27.882685714285742
2008-09-30,24.748277551020408
2008-10-31,17.354951020408237
2008-11-30,14.743904761904844
2008-12-31,6.559865306122504
2009-01-31,10.160983673469389
2009-02-28,3.959880374443287
2009-03-31,10.591955102040856
2009-04-30,16.40126530612247
2009-05-31,21.948800000000062
2009-06-30,21.176532052821187
2009-07-31,27.522959183673493
2009-08-31,27.060187755102106
2009-09-30,23.425657142857176
2009-10-31,15.541907482993167
2009-11-30,12.987795918367397
2009-12-31,4.727608401721
2010-01-31,4.617078809981763
2010-02-28,5.829700952613393
2010-03-31,8.367763265306166
2010-04-30,14.556197332911893
2010-05-31,16.670595918367383
2010-06-30,22.498134693877603
2010-07-31,26.699040816326544
2010-08-31,26.5371387755103
2010-09-30,24.069387755102127
2010-10-31,15.746985034013676
2010-11-30,10.93459591836745
2010-12-31,4.557922448979639
2011-01-31,7.687930612244941
2011-02-28,5.414477551020411
2011-03-31,12.237386815171249
2011-04-30,10.653940136054416
2011-05-31,16.659681632653133
2011-06-30,21.01628163265309
2011-07-31,24.68508979591843
2011-08-31,25.437220408163284
2011-09-30,22.70930204081634
2011-10-31,17.57017414965992
2011-11-30,10.180587755102067
2011-12-31,8.234657142857202
2012-01-31,9.365040816326598
2012-02-29,9.749424489795956
2012-03-31,8.049570068027265
2012-04-30,18.14755918367348
2012-05-31,20.402936054421787
2012-06-30,22.960800000000063
2012-07-31,26.521497959183705
2012-08-31,28.200869387755176
2012-09-30,26.021236734693957
2012-10-31,18.19401632653063
2012-11-30,13.225455782312963
2012-12-31,5.7736204081633105
2013-01-31,6.806277551020457
2013-02-28,9.406600000000083
2013-03-31,13.24982448979597
2013-04-30,17.512155102040822
2013-05-31,20.150167346938815
2013-06-30,24.960102040816366
2013-07-31,28.84022857142861
2013-08-31,26.818636734693882
2013-09-30,22.516195918367373
2013-10-31,18.515333333333388
2013-11-30,12.773367346938812
2013-12-31,10.163885714285755
2014-01-31,12.148914285714284
2014-02-28,8.917814965986452
2014-03-31,11.945616326530626
2014-04-30,17.185662585034038
2014-05-31,20.61162857142864
2014-06-30,26.71365306122459
2014-07-31,28.01722040816327
2014-08-31,26.80718367346941
2014-09-30,26.14222448979592
2014-10-31,20.314212244897988
2014-11-30,14.21454285714293
2014-12-31,4.9248536369223075
2015-01-31,11.036044897959187
2015-02-28,11.972857142857151
2015-03-31,16.645428571428567
2015-04-30,18.047322448979628
2015-05-31,19.559545578231393
2015-06-30,26.763616326530666
2015-07-31,27.343669387755142
2015-08-31,26.862387755102077
2015-09-30,25.37816326530617
2015-10-31,20.86790476190481
2015-11-30,11.029820408163289
2015-12-31,1.6933673469387713
2016-01-31,2.3121716042766707
2016-02-29,14.136514285714384
2016-03-31,13.4428204081633
2016-04-30,17.278064521581484
2016-05-31,23.031469387755124
2016-06-30,26.094608163265377
2016-07-31,28.992726530612288
2016-08-31,28.1013224489796
2016-09-30,24.15841632653064
2016-10-31,18.496567346938832
2016-11-30,14.358707707320434
2016-12-31,5.244024489795947
2017-01-31,4.554873469387758
2017-02-28,5.993499319727903
2017-03-31,15.38719591836741
2017-04-30,15.854097959183719
2017-05-31,23.256710204081628
2017-06-30,27.012330612244966
2017-07-31,29.711310204081713
2017-08-31,29.00457551020412
2017-09-30,21.11335102040823
2017-10-31,22.024263945578298
2017-11-30,13.960248979591881
2017-12-31,11.769693877551049
2018-01-31,8.637722719775525
2018-02-28,9.098477551020437
2018-03-31,11.726102040816386
2018-04-30,18.21432108843544
2018-05-31,20.55142448979592
2018-06-30,27.10177959183676
2018-07-31,29.70222040816327
2018-08-31,28.340224489795958
2018-09-30,24.844975510204108
2018-10-31,18.44632108843541
2018-11-30,13.10525714285717
2018-12-31,7.655853061224491
2019-01-31,7.599248979591891
2019-02-28,-2.060299263667389
2019-03-31,9.72240000000005
2019-04-30,19.00978231292521
2019-05-31,16.22608163265312
2019-06-30,24.93046530612247
2019-07-31,28.097820408163273
2019-08-31,27.91326530612247
2019-09-30,23.144730612244985
2019-10-31,18.453047619047652
2019-11-30,15.882839577704885
2019-12-31,4.507110204081698
2020-01-31,7.680191836734707
2020-02-29,11.418318367346956
2020-03-31,9.045628599248857
2020-04-30,18.626613716962197
2020-05-31,23.765880272108916
2020-06-30,27.278367346938808
2020-07-31,29.948689795918426
2020-08-31,30.066044897959216
2020-09-30,26.222746938775572
2020-10-31,22.343363265306152
2020-11-30,11.676187755102092
2020-12-31,8.03145977237051
2021-01-31,8.300775510204119
2021-02-28,9.598502040816356
2021-03-31,12.99953061224494
2021-04-30,19.668111564625917
2021-05-31,24.073795918367352
2021-06-30,30.702310204081698
2021-07-31,32.88666122448984
2021-08-31,31.24237142857146
2021-09-30,27.197604081632676
