,wy,ESI_max,P,adjP,total_swe,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,-0.9759445190429688,503.1434542540353,503.1434542540353,0.0,291.60232614704245,377.8093668061762,12.161995747889932,0.0,0.0
1,2002,1.7715555429458618,788.6794550171952,788.6794550171952,0.0,280.66263349917074,385.6781750088482,0.0,377.8093668061762,0.0
2,2003,1.6792922019958496,922.6054235320034,922.6054235320034,0.0,305.93826423438355,348.5156695349408,265.9572060099575,385.6781750088482,0.0
3,2004,2.1517596244812007,727.3095892313736,23.48080163866493,658.9024390243902,288.70698065229396,200.9751181432182,133.01497755328006,348.5156695349408,130.8190410351657
4,2005,2.597377061843872,1038.389244453704,15.06643772336608,834.4634146341464,325.94595909342166,168.48583604842324,0.0,159.36983839411724,201.27433027285815
5,2006,2.051460266113281,1410.5109409143524,109.96887642853228,795.0731707317073,316.0946113875068,167.43836676569657,93.48982594835698,168.48583604842324,0.0
6,2007,1.199321150779724,640.0504699860904,185.92764388669463,447.92682926829264,302.32935765616355,242.10263184031567,206.66480056427844,167.43836676569657,0.0
7,2008,2.393359899520874,660.4302811312832,92.29228946618036,700.9268292682929,272.6881503593144,257.89287139403035,153.79068730696326,206.66480056427844,296.855067826117
8,2009,1.8810789585113523,858.9067535794582,196.83483178448589,625.6829268292682,327.3985627418462,278.6482267689794,207.54057754136522,257.89287139403035,108.26324343351985
9,2010,1.716244101524353,899.5521920658382,144.26946315581495,741.1951219512197,303.88718629076834,206.4908560539326,41.18669319102003,208.78300237822583,361.76353487220507
10,2011,2.9168736934661865,1492.5775530310016,230.35362090342153,1307.5121951219512,288.95186290768373,97.6214258058418,57.350810799017395,41.18669319102003,212.78394977106672
11,2012,1.4622174501419067,667.5503230991092,171.24552028568075,409.7073170731707,304.8641768933111,259.26604299454834,55.73807921284366,77.45453575127172,0.0
12,2013,1.7944518327713013,720.8396305807514,265.81793867590574,291.4390243902439,313.20398009950236,312.9084419422185,231.07682962326965,251.52991885998713,0.0
13,2014,2.3348498344421387,645.8540007797538,218.53142036106567,138.4878048780488,295.46503040353775,241.90912306395776,158.63538149058508,294.60854158403606,23.844150407412855
14,2015,1.9845823049545288,615.6014777443087,295.04005100456527,115.70731707317071,339.0586003316748,291.4888163065838,220.00330549378396,241.90912306395776,0.0
15,2016,1.8242582082748413,992.009573017194,65.1330594887085,552.0,331.15858043117737,284.9000148333729,0.0,268.86272495582455,0.0
16,2017,2.937058687210083,1931.2641678734133,338.30050220541284,1061.9756097560976,320.353530127142,225.4717247508576,47.46346423283819,75.11898571028797,0.0
17,2018,2.4540510177612305,903.2057026030351,332.8694604379091,405.82926829268285,379.8814461028191,399.33929139877023,315.61538601938554,225.4717247508576,0.0
18,2019,2.0001883506774902,1241.8133846935254,72.2883356056764,1162.9512195121952,341.2612669983415,247.95958892482733,172.8998904987423,389.54689912465636,190.5138762632315
19,2020,1.3090472221374512,605.7232011064972,87.21935414959155,383.60975609756093,343.09658817025974,398.583930769303,269.5301875574392,226.75722041218262,0.0
20,2021,2.792038679122925,484.6854107963806,50.34787769272183,390.39024390243895,0.0,378.9939632979775,337.3142740962024,375.50132470485494,146.50522198302878
