,wy,P,adjP,spring_rain,winter_P,total_swe,snowfall_t,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,737.3443418520469,737.3443418520469,107.80392347007057,611.6345560302083,0.0,307.1027702940156,322.12456026058635,408.33016399575206,0.0,0.0,0.0
1,2002,946.508862251021,946.508862251021,85.20472970198512,861.3041325490358,0.0,419.28952132874394,324.36184759972264,445.0767217307831,0.0,408.33016399575206,0.0
2,2003,1343.8392398604021,1343.8392398604021,290.9594481551155,1022.331483839913,0.0,484.5363211607322,293.19129100585616,377.38717666335526,132.43596213537577,445.0767217307831,0.0
3,2004,1017.0644133228523,665.4389306973696,93.72920194636724,916.0781253316417,351.6254826254826,773.0255604887959,315.18916644417175,315.04645285403774,135.14517295002054,377.38717666335526,0.0
4,2005,1216.593782721897,938.396871524986,315.7679144171908,883.890061880041,278.1969111969111,197.59692797973284,313.0912956337554,264.9491641504063,0.0,223.01410621276705,0.0
5,2006,1665.9050203233026,1194.9088813271635,293.68392736978706,1340.5299732623957,470.99613899613894,988.1396576058153,302.2074437977251,286.43461537781815,126.63654740860281,264.9491641504063,0.0
6,2007,747.0046086501532,519.5142611598058,122.16587872871986,608.4517663664967,227.49034749034746,176.0997905375271,299.45246542425366,326.2859710160506,275.3650245371698,286.43461537781815,0.0
7,2008,748.9292785694558,196.352959839693,38.342810049618826,708.7421166759611,681.0038610038608,415.3640075509704,276.2014431925384,330.56624665911204,177.80098140264198,275.3650245371698,105.98898380767355
8,2009,1008.064438487174,692.4540608758838,160.85305757206737,839.0741766155277,389.1814671814672,259.5223833480792,318.6887495772592,276.64415321279074,191.28691569014296,319.1360519432149,0.0
9,2010,1069.26513686538,614.9895880495015,238.34150348422875,824.7920849444181,495.4710424710425,413.0709156112454,275.3252366458411,230.7516971425466,0.0,219.22713658673536,0.0
10,2011,1456.8821846303947,665.2617942737954,265.13935241481863,1189.0282601288582,861.108108108108,871.7744627428191,291.7460294405582,166.69953873366615,91.35589184955771,135.2022475256048,0.0
11,2012,850.1096983637804,618.9513972054791,190.28225651817746,659.1714561007302,231.15830115830124,0.0,310.5195820651111,319.4323526051926,0.0,130.81905595754858,0.0
12,2013,975.19744974728,646.187380599831,109.55334383324,840.3262879453156,331.22007722007714,439.37091524227395,310.0463544614726,327.0318473936294,255.88269502490363,314.8367697748602,0.0
13,2014,658.3902105269218,597.2473533840647,74.39879310099991,539.6122149040897,61.14285714285713,0.0,305.78482262686657,339.9896001838252,0.0,326.1235165064675,0.0
14,2015,826.1856353936797,761.7454809535253,128.16318526865751,685.2936318753453,64.44015444015444,368.201312621027,351.9001755041743,396.39726027740414,301.81569919445224,322.59219873254494,40.50720982203522
15,2016,1302.1775157579423,986.8763574567838,138.59072166997146,1160.8421707240266,315.3011583011583,582.9630050441818,343.39085598333963,329.60471616996597,0.0,396.39726027740414,0.0
16,2017,1947.9331169838915,1394.415742466517,233.32622995770504,1697.1328303932125,553.5173745173745,1179.6054690195285,351.4966113098737,374.5619995339249,161.94099959518084,137.22972064892505,0.0
17,2018,922.666984481416,771.1303049447364,159.0465231249804,763.4023519537728,151.53667953667951,0.0,378.08847831117293,456.91409650533933,336.7948633257249,374.5619995339249,0.0
18,2019,1556.698421533167,950.9995798343252,227.79338111836577,1279.725176721285,605.6988416988416,600.8513083976898,338.71879532226205,340.9601508478517,195.1304400675414,456.91409650533933,0.0
19,2020,665.054923029908,411.64007798553615,158.9718755005872,504.42720335854017,254.8262548262548,338.89949262787474,346.95631334436905,417.44418116276836,291.4994798936822,308.13075420208247,0.0
20,2021,537.4780074797912,312.18191867466857,31.607435879170726,492.3210859882496,234.1119691119691,118.04898455801853,0.0,301.28833319476195,292.3385580650942,417.44418116276836,138.68986472039063
