wy,wy,P,adjP,spring_rain,winter_P,winter_rain,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
2001,2001,881.396866322495,881.396866322495,197.15187933109704,684.093549489975,684.093549489975,0.0,0.0,193.63874530792236,359.84000000000003,152.88,474.9279366388544,16.708618859313447,0.0,0.0
2002,2002,952.9817483350635,952.9817483350635,105.79999834299088,846.365875005722,846.365875005722,0.0,0.0,288.85550689697266,344.24,169.04,453.3333764412999,0.0,470.84268715765324,0.0
2003,2003,1168.8639374226332,1168.8639374226332,305.9768655002117,822.3914474844933,822.3914474844933,0.0,0.0,249.50650691986084,342.08,173.44,410.18169075518847,238.75669849902383,453.3333764412999,0.0
2004,2004,701.9304408449681,377.9304408449681,27.181062778458,673.7455656006933,350.74556560069334,0.4615841985852275,324.0,276.4698638916016,343.84000000000003,174.0,423.58681230150165,299.09605396829545,410.18169075518847,0.0
2005,2005,1384.1741858874448,474.16806997405365,217.59119205223396,1149.0929939746857,43.09299397468567,0.7990323842738787,1106.0,0.0,353.76,153.12,314.7436260378361,103.57206113457687,375.9888735731691,296.7906293161958
2006,2006,1431.7828265428543,926.7828265428543,327.3993147611618,1028.3835117816925,599.3835117816925,0.3527071219448552,505.0,322.13457679748535,351.92,170.8,406.35243654012686,302.4903750085831,305.2314383995533,0.0
2007,2007,512.6109948158264,348.6109948158264,49.61818766593933,440.3366817831993,276.3366817831993,0.31993071092617276,164.0,0.0,338.0,188.72000000000003,606.3764424836636,497.7106928849221,400.8891247582436,125.90400541067129
2008,2008,807.1186846960336,221.56661980040369,65.68056208826602,740.5261225998402,25.526122599840164,0.8858672380621121,715.0,0.0,344.88,183.2,459.27638390652845,360.3210114967079,575.720005106926,56.78225758694123
2009,2009,940.5666856169701,560.7144431471825,145.19481301307678,786.9851853847504,298.98518538475037,0.5188361521436342,488.0,0.0,338.96000000000004,181.36,334.62118832826616,171.95468877077104,459.27638390652845,0.0
2010,2010,1231.405438169837,458.801621183753,170.1211182922125,981.7976948320866,174.79769483208656,0.7186909953193984,885.0,213.61169242858887,322.32,173.84,277.19287493884565,174.7495023268461,171.95468877077104,255.43074996590613
2011,2011,1747.7486827373505,518.8968131542206,215.10443696379662,1508.0666217803955,274.0666217803955,0.7060511686767748,1234.0,0.0,305.12,161.20000000000002,259.9051261520386,201.43137533187866,183.08581225574017,0.0
2012,2012,610.390556409955,381.6303129941225,146.39831356704235,462.29774284362793,199.29774284362793,0.43087167263341797,263.0,0.0,343.52,205.12,401.75736967265607,228.10123563945294,231.92662685394288,0.0
2013,2013,611.1858227476478,365.9295091852546,53.704626232385635,545.7051337957382,245.70513379573822,0.49084908195566385,300.0,0.0,351.6,190.72,499.00629611343146,417.3386086806655,401.75736967265607,51.65367149531838
2014,2014,481.5514395534992,449.5514395534992,137.9190005660057,315.5877517461777,283.5877517461777,0.066451883166772,32.0,0.0,330.48,201.76,713.6058564063908,539.012417819202,485.5987331232429,323.2219816145301
2015,2015,472.79250058531755,459.79250058531755,112.47906231880188,343.49312576651573,330.49312576651573,0.027496206018297643,13.0,0.0,338.56,215.04,901.1333558210733,765.4565389189127,713.6058564063908,551.3708555921913
2016,2016,934.9688806273189,726.9688806273189,108.5601218342781,825.7443838119507,617.7443838119507,0.22246729737191046,208.0,403.10075092315674,367.84000000000003,182.56,660.6444751937545,407.8572907455123,900.9340429243448,265.4384111246469
2017,2017,1874.2210648059845,920.8601267337799,193.67419317364693,1644.5640587806702,689.5640587806702,0.5095450146906014,955.0,735.1848907470703,368.0,184.4,390.71737478733064,314.4489377641678,564.4263568313277,0.0
2018,2018,794.4153770767152,553.3908149562776,110.48856446146965,683.2570626139641,427.2570626139641,0.3222495527994778,256.0,0.0,390.88,195.28,481.7378083266318,413.365184968859,390.71737478733064,0.0
2019,2019,1424.4619994014502,490.89287112653255,213.8249997496605,1208.4066245555878,203.40662455558777,0.705529526531627,1005.0,425.78175163269043,375.03999999999996,164.32,346.142751827836,199.07712482213975,457.72931422606115,61.07037685766818
2020,2020,655.1409995555878,261.23700165748596,196.46575617790222,458.67524337768555,42.67524337768555,0.6349778143669712,416.0,185.73124885559082,366.15999999999997,174.24,465.6064982938767,313.6,297.0867497259378,0.0
2021,2021,477.81720197666436,214.98132551182061,15.40945625770837,461.6236082315445,183.6236082315445,0.5818124564162865,278.0,0.0,0.0,82.72,500.0867182047718,441.15784454053653,431.20000000000005,247.87972542593062
