wy,wy,P,adjP,spring_rain,winter_P,winter_rain,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
2001,2001,794.7579525973204,794.7579525973204,175.06804608570584,619.3790428855202,619.3790428855202,0.0,0.0,0.0,345.68,162.24,479.7588189827689,86.21991065202494,0.0,0.0
2002,2002,845.1105446151712,845.1105446151712,103.52577083761042,740.8815919702704,740.8815919702704,0.0,0.0,0.0,328.72,184.16000000000003,465.72840941651305,55.48813714422971,479.7588189827689,0.0
2003,2003,1027.897544149648,1027.897544149648,299.78600218079305,705.0341775850816,705.0341775850816,0.0,0.0,0.0,327.92,193.28,428.25686246162115,222.68073205584832,465.72840941651305,0.0
2004,2004,643.4468609609387,532.9468609609387,29.617909157818012,612.6632700291547,502.16327002915466,0.1717313529744736,110.5,0.0,330.72,191.2,468.33640906821597,208.55181306546382,428.25686246162115,53.03954519098456
2005,2005,1342.323465168476,1174.323465168476,214.16713325001973,1118.4015135331588,950.4015135331588,0.1251561224692695,168.0,0.0,336.64,168.0,423.97149955597786,220.24172649578605,311.06008535439315,0.0
2006,2006,1307.7695096622815,1231.7695096622815,365.18740523945206,942.5821044228294,866.5821044228294,0.05811421618143265,76.0,0.0,327.91999999999996,190.07999999999998,457.1490457569469,334.3845909430764,405.2432269133221,0.0
2007,2007,472.70977370305496,391.70977370305496,45.014271996238016,413.809456651861,332.809456651861,0.1713524968300788,81.0,0.0,319.92,210.39999999999998,719.8349073665792,579.6408623587001,446.46277278206566,219.49122597434302
2008,2008,724.8272802550345,601.8272802550346,59.35459099303591,665.2093710682608,542.2093710682608,0.16969559969751935,123.0,0.0,318.56,202.8,635.5390809039434,520.4297597813404,679.5929527963291,241.67394617243244
2009,2009,856.9997822154652,697.9997822154652,141.7758170041171,707.2930563146418,548.2930563146418,0.1855309689682331,159.0,0.0,316.64,200.07999999999998,462.00775476952185,177.04166465302097,635.5390809039434,116.26389043264105
2010,2010,1159.3934457860253,992.8934457860253,225.53149488189425,927.2645872506229,765.7645872506229,0.14360957499386176,166.5,0.0,305.52,193.68,371.7696804216733,0.0,312.3842097644171,0.0
2011,2011,1601.6391434615307,1301.6391434615307,218.1629529432817,1369.3701903603292,1069.3701903603292,0.18730810946067866,300.0,0.0,296.96,178.07999999999998,319.9887746778401,233.5149569695646,249.4729009416928,0.0
2012,2012,597.6245422462181,583.6245422462181,140.12444569847798,456.82527836886317,442.82527836886317,0.023426079436731157,14.0,0.0,326.71999999999997,236.88,480.03973308983063,228.90758142024166,287.42331909201357,25.63436446471647
2013,2013,576.2486494942145,502.2486494942145,54.10640788620169,512.497878074646,438.497878074646,0.1284167868591993,74.0,0.0,333.68,218.56,629.1164005137291,527.0178104995315,480.03973308983063,180.48199238936894
2014,2014,449.15150006250906,449.15150006250906,127.54631651531565,296.6834112514149,296.6834112514149,0.0,0.0,0.0,310.08,237.2,895.8614923625357,748.8109028045412,608.9764007668863,499.8759466965348
2015,2015,437.0059507976879,437.0059507976879,109.1341361132535,314.0301329005848,314.0301329005848,0.0,0.0,0.0,318.24,246.64,1137.4689960506541,927.1699063900097,895.8614923625357,786.498223163511
2016,2016,907.4640531716022,879.4640531716022,111.70468464764681,795.4680503498424,767.4680503498424,0.030855216691106965,28.0,0.0,349.52000000000004,202.48000000000002,917.9514883932457,603.2856618870644,1137.4689960506541,540.3947616534597
2017,2017,1806.3824585703287,1572.3824585703285,177.32235833731565,1601.1317827051337,1367.1317827051337,0.12954067334400524,234.0,0.0,356.48,200.4,479.25440964644605,392.99372748147357,825.2933919965393,0.0
2018,2018,740.5704115087336,724.0704115087336,106.86022468046707,633.7101868282665,617.2101868282665,0.02228012319096739,16.5,0.0,379.36,218.4,477.3909088949723,329.4279085454074,479.25440964644605,0.0
2019,2019,1292.3255902095275,980.8255902095274,207.69323391264135,1083.217310818759,771.717310818759,0.24103832839021305,311.5,386.08890186656606,367.84,184.24,465.8556834832104,254.37981567426152,474.4336370208046,0.0
2020,2020,616.2659973664718,371.933593489907,185.28731692921033,430.9786804372614,113.4786804372614,0.5151996075668506,317.5,0.0,355.44,187.76,539.9170479553395,406.15704795533946,419.46304532181125,92.10722872343922
2021,2021,438.72741507942027,272.72741507942027,14.7235815579241,422.8660562688654,256.8660562688654,0.37836705501968687,166.0,0.0,0.0,99.84,621.8560254412712,574.7793473894686,539.9170479553395,362.97916312444937
