wy,wy,P,adjP,spring_rain,winter_P,winter_rain,snow_frac,total_swe,snowfall_t,springET,winterET,maxDeficit,minDeficit,octDeficit,aprDeficit
2001,2001,936.115406578569,936.115406578569,208.2225781718139,727.7316888764847,727.7316888764847,0.0,0.0,209.97222971361734,359.84000000000003,152.88,469.91176779709804,0.0,0.0,0.0
2002,2002,1026.2514571006907,1026.2514571006907,105.2331412670224,919.9528739396915,919.9528739396915,0.0,0.0,315.02669223519257,344.24,169.04,453.9565800122328,0.0,464.13314031097997,0.0
2003,2003,1265.161881147429,1265.161881147429,310.1560172812883,902.6709578758063,902.6709578758063,0.0,0.0,275.5819829896439,342.08,173.44,395.8361651489347,183.920671052785,453.9565800122328,0.0
2004,2004,746.1748496335605,421.50818296689386,24.897046173727787,720.3124546283898,395.6457879617231,0.4351080270610936,324.6666666666667,307.8525965491006,343.84000000000003,174.0,407.17448061730516,261.70125709639046,395.8361651489347,0.0
2005,2005,1410.4727064177046,571.0694213541902,228.49809087708937,1160.5478484575137,178.21451512418037,0.6964568182451736,982.3333333333334,0.0,353.76,153.12,311.5238147487197,50.923180200739466,342.9686652443946,153.8177711112927
2006,2006,1516.3936293845952,1227.3936293845952,419.96337633354716,1096.430253051048,807.4302530510481,0.19058376031115756,289.0,338.9967949445857,351.92,170.8,399.0863946222704,297.31318533963935,302.1466746875852,0.0
2007,2007,537.3046291040819,401.3046291040819,51.24853276097497,457.5916314901307,321.5916314901307,0.25311525833449555,136.0,0.0,338.0,188.72000000000003,570.2244859136539,455.5904428029617,394.4914407676874,102.38706728292075
2008,2008,876.2921184038006,386.6254517371339,70.87041758520658,803.9743054190346,314.30763875236795,0.5587938729365878,489.6666666666667,0.0,344.88,183.2,393.73851404378587,285.16035166330124,542.3108115661978,0.0
2009,2009,1010.7000469606975,621.454787357833,149.33862588571947,851.565653601358,453.565653601358,0.39378646631791125,398.0,0.0,338.96000000000004,181.36,364.64081702742465,184.18847302192867,393.73851404378587,0.0
2010,2010,1294.9440360540566,768.27736938739,255.5819752909416,1037.4623165685075,510.7956499018409,0.406709982827923,526.6666666666666,226.85235134390894,322.32,173.84,346.67103102591614,0.0,184.18847302192867,0.0
2011,2011,1884.965522533239,958.2988558665724,220.57197535315223,1631.5403607390645,704.8736940723977,0.49160934541725876,926.6666666666667,0.0,305.12,161.20000000000002,243.9511858159442,189.64902359408,229.03123912741052,0.0
2012,2012,611.184903616129,460.5182369494623,144.4121600860773,464.62765041617456,313.96098374950793,0.2465156874380145,150.66666666666666,0.0,343.52,205.12,450.20918961613677,232.08137317487444,211.02104543508483,0.0
2013,2013,648.5816855569218,473.2483522235884,53.80497732550599,581.3411266859187,406.0077933525853,0.27033346336749975,175.33333333333334,0.0,351.6,190.72,514.2137125783745,433.4108750193619,450.20918961613677,68.71659610459977
2014,2014,506.6017184811969,490.9350518145302,144.08734775144,330.9806955914164,315.3140289247497,0.030925016823147935,15.666666666666668,0.0,330.48,201.76,702.691644752525,517.1908335243274,499.78280554272425,316.08483160118755
2015,2015,506.7518358230591,501.0851691563924,122.8946049712425,359.57409089110615,353.90742422443947,0.011182330809838997,5.666666666666667,0.0,338.56,215.04,856.2598089294661,707.694736523555,702.691644752525,524.4674839335823
2016,2016,960.8485491044472,818.5152157711138,109.99802207946776,849.7134339975755,707.3801006642421,0.14813295338375046,142.33333333333334,411.57178124716114,367.84000000000003,182.56,589.891259825019,297.6951548816918,853.3444361927349,196.98930472229875
2017,2017,1954.0035656884656,1287.0035656884656,202.92341960862626,1704.1676570981047,1037.1676570981047,0.3413504518171091,667.0,755.1181938703669,368.0,184.4,379.2141621052942,303.78713793111405,484.2305320304605,0.0
2018,2018,837.8727309038472,712.1053127299907,111.59723216433856,724.5161731298579,594.1828397965245,0.15555266155128059,130.33333333333334,0.0,390.88,195.28,479.9912091270713,373.9315090438932,379.2141621052942,0.0
2019,2019,1525.0174713356548,708.6841380023216,226.38725403852237,1295.3585195319597,479.02518619862633,0.5352944137868564,816.3333333333334,461.3265430539153,375.03999999999996,164.32,415.938085168942,260.3369684540209,447.938095021137,0.0
2020,2020,684.3982490716978,350.07106355179184,202.43646151520483,481.961787556493,115.961787556493,0.5347763535287152,366.0,195.97302317064862,366.15999999999997,174.24,484.5384876322192,328.65846493033473,357.30527068884794,0.0
2021,2021,480.0739079048467,191.55032816690985,17.217499452967978,462.05924105089764,136.39257438423095,0.6783677706792088,325.6666666666667,0.0,0.0,82.72,485.13212091584,436.03776035121257,446.25846493033475,209.09186583903488
